contracts_per_trade,trades,signal_months,realized_months,base_total_pnl,base_average_monthly_pnl,stress_total_pnl,stress_average_monthly_pnl,stress_profit_factor,selection_sequence_max_drawdown,realized_base_max_drawdown,realized_stress_max_drawdown,positive_signal_month_ratio,positive_realized_month_ratio,minimum_signal_month,minimum_realized_month,maximum_active_positions,peak_defined_risk,peak_risk_date,peak_sector_risk_share,peak_ticker_risk_share
1,53,8,8,3523.850000000001,440.48125000000005,2769.0650000000005,346.133125,3.4176689119872194,-353.75,-678.25,-710.4250000000002,0.875,0.875,-274.74500000000006,-110.62499999999996,10,3965.95,2026-06-15,0.7915379669436075,0.2084620330563926
2,53,8,8,7047.700000000002,880.9625000000001,5538.130000000001,692.26625,3.4176689119872194,-707.5,-1356.5,-1420.8500000000004,0.875,0.875,-549.4900000000001,-221.24999999999991,10,7931.9,2026-06-15,0.7915379669436075,0.2084620330563926
4,53,8,8,14095.400000000003,1761.9250000000002,11076.260000000002,1384.5325,3.4176689119872194,-1415.0,-2713.0,-2841.7000000000007,0.875,0.875,-1098.9800000000002,-442.49999999999983,10,15863.8,2026-06-15,0.7915379669436075,0.2084620330563926
8,53,8,8,28190.800000000007,3523.8500000000004,22152.520000000004,2769.065,3.4176689119872194,-2830.0,-5426.0,-5683.4000000000015,0.875,0.875,-2197.9600000000005,-884.9999999999997,10,31727.6,2026-06-15,0.7915379669436075,0.2084620330563926
12,53,8,8,42286.2,5285.7750000000015,33228.780000000006,4153.597500000001,3.4176689119872194,-4245.0,-8139.0,-8525.099999999999,0.875,0.875,-3296.9400000000005,-1327.4999999999993,10,47591.4,2026-06-15,0.7915379669436073,0.2084620330563926
16,53,8,8,56381.60000000001,7047.700000000001,44305.04000000001,5538.13,3.4176689119872194,-5660.0,-10852.0,-11366.800000000003,0.875,0.875,-4395.920000000001,-1769.9999999999993,10,63455.2,2026-06-15,0.7915379669436075,0.2084620330563926
